ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,label
-2.2,-1.46,10.03,-26.25,65.44,115.56,-15.53,-6.39,4.99,43.87,-481.13,-35.0,-4.38,-2.76,-10.5,-73.94,-396.63,-45.06,-1.64,-2.17,-11.59,23.38,213.37,23.56,-4.67,1.91,6.87,-89.81,308.44,-25.81,-2.84,-2.09,4.35,27.5,114.69,-26.25,-1.79,1.76,4.74,-13.62,45.75,-31.87,0.2,1.22,0.29,15.19,23.56,-5.94,0.05,-0.76,-0.86,-9.06,2.25,1.06,-0.14,-0.32,-0.09,-1.44,15.63,-2.75,0.17,-0.2,0.0,-3.25,17.62,-12.75,0.16,-0.47,-0.08,-4.37,21.0,-16.19,-0.01,-0.2,-0.01,-1.37,11.12,-10.13,0.18,-0.07,0.23,-2.94,8.94,-5.44,0.1,-0.25,0.14,0.31,-2.0,-4.06,leftSwap
-0.13,0.99,0.69,7.31,-33.75,50.5,-0.08,0.51,0.35,5.81,-55.31,95.75,-0.94,-1.01,0.88,-3.5,-26.31,103.62,-13.25,-1.36,8.91,-122.69,-163.12,131.69,-9.04,8.88,-6.37,284.25,-671.87,57.94,-5.0,-3.98,-11.24,-123.62,243.88,14.19,-0.88,2.23,3.73,-22.94,257.81,-51.19,-1.51,-2.71,3.1,-2.81,109.12,-44.88,-0.71,-0.05,1.75,-37.69,75.19,-45.31,-0.39,0.21,-0.62,0.88,58.0,-16.69,-0.32,-0.15,0.4,-9.19,30.5,-2.25,-0.49,-0.14,0.92,-8.88,29.37,0.5,-0.08,-0.22,0.14,-10.5,9.0,-5.06,-0.08,-0.24,-0.29,-12.44,11.0,-2.19,-0.03,-0.19,-0.27,-7.12,8.5,-2.0,leftSwap
-0.01,-0.66,-0.02,31.19,-14.25,6.5,0.56,-0.17,-0.07,102.69,-11.94,-0.56,2.12,-2.37,-0.01,259.12,18.87,-17.75,0.79,28.66,-29.03,1037.81,-196.12,164.75,-14.95,-11.64,0.49,-149.12,367.94,506.94,-13.38,-16.08,5.54,-127.44,-4.06,-3.37,0.02,-0.69,-2.6,-0.69,-111.94,-162.06,0.12,0.94,-1.01,10.88,-68.5,-127.25,0.17,1.33,0.73,20.88,-40.88,-105.06,-0.07,1.5,0.52,-23.31,-22.37,-86.75,0.16,0.89,-0.44,-230.62,-1.06,-90.62,-0.77,0.86,-0.57,-216.0,43.25,-69.37,-0.11,-1.48,0.26,-106.81,32.44,-25.0,0.24,-0.18,0.46,-17.94,12.25,-1.94,-0.3,-0.47,0.31,-3.69,6.5,0.81,upSwap
-0.15,-1.25,-0.03,98.75,-12.56,12.81,0.37,-1.64,-0.24,217.56,-21.62,4.25,2.75,2.06,-0.94,434.06,-75.0,-33.38,-5.63,13.95,-21.29,-119.19,329.56,293.56,-16.94,-3.57,-8.25,-184.19,312.81,438.63,-8.89,-3.58,2.66,2.12,-70.62,-71.06,-0.75,0.36,-1.05,42.56,-104.12,-130.56,0.26,1.04,-0.65,26.31,-79.69,-104.12,0.74,0.82,-0.43,1.12,-45.56,-84.13,0.51,0.32,0.63,-3.37,-29.5,-57.81,0.58,0.86,0.64,14.87,-20.25,-30.88,0.22,0.31,0.19,4.12,-3.37,-11.25,0.08,0.08,0.29,7.5,-0.94,-1.06,-0.35,-0.47,0.38,0.69,-2.06,-0.94,-0.55,-0.41,0.57,-4.0,-6.75,-7.37,upSwap
2.71,8.24,-3.28,259.25,-9.44,-37.31,-7.46,5.8,-2.2,-49.56,522.19,509.75,-23.39,-7.98,6.78,-72.25,151.19,195.31,-1.49,-0.84,-0.7,36.5,-129.87,-139.81,1.44,0.46,-1.9,-0.44,-56.88,-40.06,1.14,0.17,-0.3,-30.44,-3.87,-32.5,0.07,0.1,-0.13,-15.5,6.69,-18.25,-0.4,0.12,0.16,11.12,1.94,-16.06,-0.3,-0.1,0.09,1.56,0.81,-10.81,-0.19,0.29,-0.31,11.63,-4.19,-11.75,-0.01,-0.06,0.04,15.88,-7.81,-14.44,-0.25,-0.1,0.21,10.19,-8.13,-12.88,0.06,0.08,0.06,4.12,-8.75,-11.38,0.12,0.0,-0.02,-1.87,-5.87,-4.0,-0.07,-0.45,-0.12,-2.37,-0.94,-5.25,upSwap
-1.18,14.77,-10.98,203.19,61.56,155.75,-8.76,3.87,2.73,13.13,581.75,453.5,-19.77,-13.43,6.18,-38.0,106.25,86.31,-2.33,-2.41,-1.55,17.25,-137.94,-136.62,0.27,0.13,-1.05,0.88,-96.31,-96.25,-0.28,1.03,0.73,3.31,-61.19,-95.44,-1.01,1.0,0.08,16.75,-37.5,-79.69,-0.55,0.58,0.14,1.06,-39.5,-56.88,-0.61,0.34,-0.26,5.0,-43.81,-44.75,-0.36,0.1,-0.21,0.37,-33.31,-36.0,-0.29,0.23,-0.77,0.37,-20.25,-32.13,0.0,0.28,-0.75,-24.63,-9.5,-24.56,0.02,-0.51,-0.79,-35.69,-6.5,-20.5,-0.25,-0.71,-0.32,-15.69,-4.25,-18.69,-0.23,-0.53,-0.14,3.56,-2.69,-13.06,upSwap
0.47,-0.33,-1.55,143.0,-10.81,8.0,1.05,14.33,-14.33,205.19,32.06,115.81,-12.32,-0.86,6.82,-221.5,458.81,377.5,-14.86,-5.86,2.51,40.88,147.19,115.69,-1.12,-0.94,-1.1,-17.25,-108.37,-125.12,0.34,0.23,-0.33,40.31,-86.19,-100.31,0.88,1.83,-0.07,15.38,-61.5,-88.69,-0.59,-0.33,-0.24,11.56,-35.75,-76.5,-0.3,0.3,-0.3,11.5,-40.25,-56.88,-0.26,0.44,-0.28,-2.19,-27.25,-36.25,0.0,0.0,-0.43,4.56,-21.69,-24.75,-0.14,-0.39,-0.25,-9.81,-10.38,-19.56,-0.45,-0.23,0.09,-10.0,-10.19,-20.37,-0.41,-0.44,0.47,-23.56,-15.19,-33.44,-0.65,-1.75,0.44,-68.0,-15.25,-43.94,upSwap
8.38,13.84,-11.94,967.75,-80.94,271.56,-6.89,-4.17,1.37,-108.31,360.25,359.69,-12.11,-6.87,4.07,-67.31,98.31,91.63,-2.57,-2.14,-0.71,-35.0,-59.31,-100.0,0.33,0.19,-1.21,-15.31,-82.25,-109.12,0.58,0.46,-0.72,-50.0,-60.81,-113.44,-0.77,1.35,-0.33,-14.69,-35.81,-99.75,-0.13,-0.18,-0.32,4.87,-37.38,-82.88,-0.27,-0.22,-0.08,-10.63,-22.69,-71.44,-0.11,-0.7,0.27,-32.88,-15.06,-60.44,-0.01,1.01,-0.46,-60.06,-13.88,-60.5,-0.07,-0.54,-0.45,-58.44,-0.31,-53.31,-0.14,0.19,-0.26,22.81,1.94,-34.63,0.15,0.3,-0.31,48.69,0.25,-15.13,-0.13,0.41,0.1,12.75,0.69,-10.13,upSwap
1.48,26.03,-18.44,340.75,282.19,355.31,-12.25,-5.7,-4.43,-47.06,359.56,390.0,-8.25,-3.82,2.57,-38.13,-16.25,-16.5,-0.61,0.01,-0.32,-16.0,-95.62,-125.69,-0.67,1.04,0.02,-3.62,-62.62,-116.5,-0.27,1.08,0.26,-20.44,-24.56,-102.81,-0.04,1.27,-0.5,-42.06,-14.5,-84.75,0.12,-0.61,-0.02,-54.5,-12.75,-74.37,-0.25,-1.15,0.1,-44.69,0.44,-72.19,-0.44,0.19,0.47,15.5,2.0,-62.19,-0.58,1.34,0.06,-14.19,8.25,-49.31,0.11,-0.48,-0.22,-32.69,16.69,-40.12,-0.04,-0.74,0.16,-31.37,11.56,-41.0,-0.24,0.59,0.62,-14.81,11.69,-48.19,0.26,-0.27,0.36,-7.44,9.19,-57.19,upSwap
-0.04,0.49,1.77,88.06,-16.19,-50.31,3.27,18.83,-10.57,464.37,-104.5,146.25,-16.34,10.38,-8.15,24.19,658.87,505.69,-19.46,-8.69,3.62,-0.13,227.75,275.62,-6.67,-5.07,2.97,-62.81,-93.0,-61.75,-1.37,-0.52,0.29,-16.5,-127.69,-215.44,-1.06,0.68,-1.43,-121.87,-85.87,-220.37,-0.34,3.35,-0.74,-60.12,-65.19,-158.31,-0.96,1.12,-0.69,-6.37,-41.63,-129.81,-0.38,-0.28,0.93,-113.0,-17.94,-120.44,-0.12,0.77,0.24,-126.19,5.94,-122.19,-0.31,0.31,-0.27,-183.44,41.19,-120.87,-0.26,0.14,0.64,-65.44,31.06,-42.13,0.23,0.35,1.37,28.19,-4.94,3.12,0.04,0.15,0.36,-3.81,-8.69,16.75,upSwap
-6.01,20.8,-12.47,535.0,74.69,320.94,-20.21,-1.56,2.05,-138.69,528.69,485.63,-17.25,-10.41,6.37,-11.94,101.94,85.94,0.59,-2.27,-0.96,-81.37,-158.94,-167.37,-0.91,0.39,0.55,-22.44,-115.88,-185.88,-1.38,-0.87,0.28,-19.87,-91.69,-170.44,-0.68,0.02,1.09,-29.94,-70.94,-150.25,-0.72,0.48,1.52,-61.63,-44.56,-121.87,-0.7,2.44,0.35,-57.56,-20.56,-120.13,-0.16,-0.47,0.06,-132.12,2.37,-119.13,-0.03,0.55,-0.18,-116.44,11.81,-77.5,-0.05,-0.41,0.57,-55.06,12.88,-32.06,0.11,1.48,0.13,-20.31,6.31,5.0,0.08,-0.16,0.03,-19.31,3.56,16.0,0.09,-0.04,0.16,-13.13,3.81,9.5,upSwap
