@relation pandasdata
@attribute std0 real
@attribute kur0 real
@attribute skew0 real
@attribute q250 real
@attribute q500 real
@attribute q750 real
@attribute std1 real
@attribute kur1 real
@attribute skew1 real
@attribute q251 real
@attribute q501 real
@attribute q751 real
@attribute std2 real
@attribute kur2 real
@attribute skew2 real
@attribute q252 real
@attribute q502 real
@attribute q752 real
@attribute std3 real
@attribute kur3 real
@attribute skew3 real
@attribute q253 real
@attribute q503 real
@attribute q753 real
@attribute std4 real
@attribute kur4 real
@attribute skew4 real
@attribute q254 real
@attribute q504 real
@attribute q754 real
@attribute std5 real
@attribute kur5 real
@attribute skew5 real
@attribute q255 real
@attribute q505 real
@attribute q755 real
@attribute label{circleCCW,circleCW,downSwap,leftSwap,rightSwap,upSwap}
@data
3.6015073563849955,0.3845061981498423,-0.9263479710410846,-5.074999999999999,-0.77,0.16499999999999998,5.36859013149635,2.252993753985078,1.2797508188214801,-1.5299999999999998,0.2,2.54,6.479197995637012,1.0563932497355966,-0.1025908035076758,-3.5199999999999996,-0.47,1.8,54.031058158380404,-0.27433906516679585,-0.8443872818052697,-38.965,5.25,12.875,163.75702499507648,1.7836096643643264,0.8552248082017128,-81.035,1.81,37.81,161.75039862466522,1.4956738495768471,-0.2609514110083568,-41.78,2.44,51.155,"circleCW"
3.8518260357295224,-0.7313568832932105,-0.697701244888101,-4.865,-1.72,0.5,6.899856934334632,7.499523871648738,2.211246632809169,-0.895,0.97,1.77,6.598713943965574,0.7789599307152777,-0.009327188694506227,-3.21,-0.19,2.15,58.279893674119435,0.24828517315192222,-0.060503849130580815,-59.125,-30.5,26.405,157.0425902134589,0.7214248571078823,0.47816574905016646,-85.625,7.5,53.94,152.07997960972784,1.626000875779642,-0.10200464841724864,-46.53,9.38,71.66,"circleCW"
3.6733205427138818,-0.9806214000525819,-0.5620625276140556,-6.0600000000000005,-1.16,-0.02,4.57358169532474,5.879360178507576,1.7272180689501455,-1.03,-0.41,0.375,6.0598525048842875,2.0382451359806906,-0.5905913904977873,-3.28,-0.5,-0.15,40.7778062536123,-0.7893849709170362,-0.45753928630796886,-58.97,-21.75,-1.6550000000000002,161.8675418270842,2.9179922296567202,1.1157950967958348,-69.405,1.19,9.625,154.1320297666906,3.0900169379756717,0.12305151663099703,-28.25,-1.5,25.5,"circleCW"
5.002814731538161,-0.7029722235582501,-0.5953939375541962,-7.625,-1.02,0.5,5.50568494073777,4.019955024751857,1.1098323249873026,-0.605,1.3,2.425,7.175108427918072,4.569242033739218,1.4566484936253528,-3.92,-0.29,0.465,54.51541588875398,-1.6347744189910003,-0.3319355410342499,-99.405,-20.31,-2.9050000000000002,155.04501410266386,2.200184511538751,1.0812348566445877,-48.345,5.12,23.28,163.6847226777601,0.32719125160858287,0.21729812886839753,-73.72,-5.19,72.72,"circleCW"
4.386558473119359,0.2239066653795736,-1.0561267545134094,-6.09,-1.75,-0.43000000000000005,5.73755282162634,3.1384576283318477,1.5672802446243694,-1.16,0.68,2.185,6.665155090540083,1.7425779844467444,1.1575659186114575,-4.52,-0.88,-0.105,71.70278614497752,-0.10163733267501929,-0.9789154062210388,-63.16,-11.44,13.844999999999999,172.8559606256305,1.8770967399264773,1.0807311447436234,-51.78,12.06,33.0,151.1690393692092,0.30610886407781024,0.004400325204449521,-87.5,-2.81,28.125,"circleCW"
4.545397462845036,-0.8796979703603469,-0.7504130706846986,-7.59,-0.89,-0.47,7.785395484954047,1.6296498071275352,1.1974511475629905,-1.91,0.98,3.87,6.651679558756642,2.3599196675905034,0.5656434386820649,-3.585,-1.01,0.48,78.21345385424122,3.292494766581151,0.5989897463126613,-67.53,-18.94,7.095000000000001,179.37263602424346,2.1069753792457657,0.9616042164883305,-53.095,10.38,47.625,159.7602678777829,0.4866582214377022,-0.1554693100552518,-45.0,-2.44,85.06,"circleCW"
5.269743826790824,0.17534923996968876,-1.103353613336752,-6.365,-1.17,-0.32999999999999996,5.133653391382899,5.047356684150487,1.513570584702964,-1.275,0.21,2.3,6.056399055858979,3.0348644396704687,0.8046583264534142,-3.3,-0.47,0.26,94.18989351305162,2.6430645775251635,0.9661406359280155,-97.215,-44.63,-3.1550000000000002,171.5333750198902,0.7744447493753892,0.6536494892698936,-72.375,9.81,37.22,153.26967272782713,1.6816741038929095,0.8736856893753507,-92.59,3.81,35.875,"circleCW"
3.672332462384869,-0.3558164311691807,-0.8920376819398113,-5.25,-1.24,-0.035,4.887085313061647,1.1926060316437122,0.935881266933519,-1.9949999999999999,0.32,1.295,5.7668816365106546,1.4364563740557204,0.21213709267947123,-3.1550000000000002,-0.45,0.19999999999999998,90.36315807946976,0.9396410441654464,-1.2772250145794715,-65.5,-17.06,-5.405,153.86616261574613,2.176943280397629,1.5655300575107471,-67.655,7.81,22.310000000000002,163.6047632849478,0.537021993544565,0.0679285228210492,-73.345,-6.19,31.25,"circleCW"
3.8116521852016323,-1.5348283075351574,-0.5407227870123532,-6.845,-0.57,0.525,5.948470951989819,1.3921185380434666,1.1315355505378777,-1.305,0.29,2.555,5.048007905057579,1.6733413459285886,0.40318118097614025,-4.494999999999999,-0.13,0.445,52.30168870077123,-0.9339915627370372,-0.6170736677034655,-61.435,-10.25,11.345,163.02174620349916,0.7247256071211119,0.6545675376287733,-96.5,1.87,25.5,147.5622550396305,1.090379829775154,0.3961022373702833,-64.125,-0.62,32.905,"circleCW"
3.8969729400187134,-1.0341741819035413,-0.6060846748083,-5.315,-0.78,0.045,5.692997536656849,2.3180603649877174,1.5919097972867087,-1.84,-0.49,1.895,5.065194961696934,1.623883457851802,1.0262555513309617,-3.5149999999999997,-0.61,0.99,63.86020731328107,0.5067557295948388,-0.21276884682733585,-50.41,4.81,15.41,151.33040055266017,0.9187513900186293,0.5368012362194753,-51.75,6.62,29.75,161.4651768058747,0.430930206407365,0.3051813823524427,-77.81,-7.69,67.25,"circleCW"
